week,iot_pregnancy,iot_pregnancy_test,iot_abortion,iot_misoprostol
12/1/2019,70,57,49,39
12/8/2019,67,62,59,28
12/15/2019,67,82,54,87
12/22/2019,65,68,73,69
12/29/2019,67,73,68,29
1/5/2020,75,57,73,63
1/12/2020,80,57,75,66
1/19/2020,76,76,61,85
1/26/2020,81,75,70,44
2/2/2020,77,75,75,35
2/9/2020,74,78,59,56
2/16/2020,87,73,78,85
2/23/2020,76,65,60,62
3/1/2020,77,62,72,88
3/8/2020,74,66,80,54
3/15/2020,74,74,73,60
3/22/2020,83,71,75,65
3/29/2020,94,96,85,65
4/5/2020,100,83,100,92
4/12/2020,93,68,81,58
4/19/2020,100,96,82,75
4/26/2020,95,65,90,100
5/3/2020,85,90,93,69
5/10/2020,86,82,92,80
5/17/2020,86,69,79,61
5/24/2020,88,72,71,40
5/31/2020,80,62,78,59
6/7/2020,85,82,62,72
6/14/2020,75,61,62,54
6/21/2020,64,79,68,40
6/28/2020,71,63,75,72
7/5/2020,69,75,74,59
7/12/2020,66,56,56,37
7/19/2020,74,59,73,54
7/26/2020,79,57,63,65
8/2/2020,83,65,55,48
8/9/2020,69,54,74,67
8/16/2020,74,68,60,63
8/23/2020,65,51,74,67
8/30/2020,75,71,67,43
9/6/2020,78,64,59,58
9/13/2020,73,56,75,69
9/20/2020,74,46,72,54
9/27/2020,75,92,75,54
10/4/2020,80,72,68,57
10/11/2020,74,51,72,63
10/18/2020,73,87,91,59
10/25/2020,68,57,71,65
11/1/2020,62,67,64,62
11/8/2020,75,80,83,75
11/15/2020,72,75,69,52
11/22/2020,69,69,69,38
11/29/2020,74,74,67,44
12/6/2020,75,49,73,54
12/13/2020,69,67,67,39
12/20/2020,67,69,82,36
12/27/2020,72,63,51,53
1/3/2021,85,100,65,72
1/10/2021,85,74,74,74
1/17/2021,78,65,62,38
1/24/2021,79,71,63,74
1/31/2021,83,94,66,60
